"PERSONES_LLAR","PROVINCIA","HABITAT","COMARCA","CIUTADANIA","SEXE","EDAT","LLOC_NAIX","SIT_ECO_PERSONAL","INF_POL_DIARI_FREQ","INF_POL_TV_FREQ","INF_POL_RADIO_FREQ","INF_POL_XARXES_FREQ","INF_POL_CONEGUTS_FREQ","INF_POL_TV_CANAL","INF_POL_RADIO_EMISORA","INF_POL_PREMSA_DIARI","INF_POL_OBJ_CAP_OPOSICIO","INF_POL_OBJ_GOVERN_CAT","INF_POL_OBJ_RANG_ESCOLARITZACIO","INF_POL_OBJ_INI_ESCOLARITZACIO","INF_POL_OBJ_FI_ESCOLARITZACIO","COLLECTIU_DISCRIMINAT","LLOC_NAIX_PARE","LLOC_NAIX_MARE","GRUP_ETNIC","RELIGIO","SIT_LAB","ESTUDIS_1_15","GENERE","ORIENTACIO_SEXUAL","ESTAT_CIVIL","LLENGUA_PRIMERA","LLENGUA_IDENTIFICACIO","BENESTAR_COTXE_PROPI","BENESTAR_VACANCES","BENESTAR_SUPORT_LLAR","BENESTAR_PROPIETATS","BENESTAR_FACTURES","TIPUS_LLAR","INGRESSOS_1_15","DISCAPACITAT","Clusters"
3,"Barcelona","2.001-10.000 habitants","Vallès Oriental","Sí, tinc la ciutadania (espanyola)","Masculí",44,"Catalunya","Igual","Tots els dies","Tots els dies","Tots els dies","1-2 dies per setmana","Mai","La 1","COPE","La Vanguardia (català)","Correcte","Incorrecte","Aproximat","3","16","No","Altres comunitats autònomes","Altres comunitats autònomes","Blanc/a","Catolicisme","Està temporalment de baixa","Educació Primària (Educació Primària de la LOGSE, 5è curs d’EGB, ensenyament primari antic)","Home","Heterosexual","Casat/ada","Castellà","Castellà","Sí","Sí","No","No","No","Parella amb fills/es","De 1.201 a 1.800 €","Sí","1"
4,"Barcelona","2.001-10.000 habitants","Vallès Oriental","Sí, tinc la ciutadania (espanyola)","Femení",41,"Catalunya","Pitjor","Mai","Tots els dies","3-4 dies per setmana","Mai","1-2 dies per setmana","La 1","No té cap emissora habitual","No llegeix diaris","Correcte","Correcte","Aproximat","3","16","No","Altres comunitats autònomes","Altres comunitats autònomes","Blanc/a","Catolicisme","Treballa","FP de Grau Mig (Cicle/mòdul formatiu de FP (grau mitjà), d’Arts Plàstiques i Disseny, Música i Dansa, ensenyaments","Dona","Heterosexual","Casat/ada","Castellà","Totes dues igual: català (valencià / balear) i castellà","Sí","Sí","No","No","No","Parella amb fills/es","No contesta","No","2"
2,"Barcelona",">1.000.000 habitants","Barcelonès","Sí, tinc la ciutadania (espanyola)","Femení",75,"Catalunya","Pitjor","Mai","Tots els dies","Mai","Mai","3-4 dies per setmana","TV3","No escolta la ràdio / No té ràdio","No llegeix diaris","No ho sap","Incorrecte","Correcte","6","16","No","Catalunya","Catalunya","Blanc/a","Catolicisme","No treballa","FP de Grau Superior (Cicle/mòdul formatiu de FP (grau superior) d’Arts Plàstiques, Disseny, Música i Dansa, Esport,","Dona","Heterosexual","Divorciat/ada","Català (valencià / balear)","Català (valencià / balear)","Sí","Sí","Sí","No","No","Monoparental: pare/mare amb fills/es","No contesta","No","2"
2,"Barcelona",">1.000.000 habitants","Barcelonès","Sí, tinc la ciutadania (espanyola)","Masculí",77,"Catalunya","Pitjor","5-6 dies per setmana","Tots els dies","Mai","Mai","1-2 dies per setmana","TV3","No escolta la ràdio / No té ràdio","La Vanguardia (català)","Correcte","Incorrecte","Aproximat","3","16","No","Catalunya","Catalunya","Blanc/a","Catolicisme","No treballa","Batxillerat (Batxillerat LOGSE, BUP, Batxillerat Superior (6è), Batxillerat Universitari (7è), inclòs COU i PREU)","Home","Heterosexual","Casat/ada","Català (valencià / balear)","Català (valencià / balear)","Sí","Sí","Sí","Sí","No","Parella sense fills/es","No contesta","No","3"
2,"Barcelona",">1.000.000 habitants","Barcelonès","Sí, tinc la ciutadania (espanyola)","Femení",30,"Catalunya","Igual","Mai","Amb menys freqüència","Mai","Amb menys freqüència","Mai","La Sexta","No escolta la ràdio / No té ràdio","El País","No ho sap","No ho sap","Correcte","6","16","No","Altres comunitats autònomes","Altres comunitats autònomes","Blanc/a","Catolicisme","Treballa","Grau (Estudis de grau, ensenyaments artístics equivalents (Des de 2006))","Dona","Heterosexual","Solter/a","Català (valencià / balear)","Català (valencià / balear)","Sí","Sí","No","No","No","Parella sense fills/es","De 2.401 a 3.000 €","No","3"
6,"Barcelona",">1.000.000 habitants","Barcelonès","Sí, tinc la ciutadania (espanyola)","Masculí",32,"Catalunya","Igual","Tots els dies","Amb menys freqüència","Tots els dies","Tots els dies","3-4 dies per setmana","Canal 3/24","No té cap emissora habitual","No té cap diari habitual","No ho sap","Incorrecte","Correcte","6","16","No","Altres comunitats autònomes","Altres comunitats autònomes","Blanc/a","Catolicisme","Treballa","Batxillerat (Batxillerat LOGSE, BUP, Batxillerat Superior (6è), Batxillerat Universitari (7è), inclòs COU i PREU)","Home","Heterosexual","Solter/a","Català (valencià / balear)","Totes dues igual: català (valencià / balear) i castellà","Sí","Sí","No","Sí","No","Parella amb fills/es i altres familiars","De 4.001 a 4.500 €","No","1"
4,"Barcelona","2.001-10.000 habitants","Vallès Oriental","Sí, tinc la ciutadania (espanyola)","Femení",37,"Catalunya","Igual","3-4 dies per setmana","Tots els dies","Tots els dies","3-4 dies per setmana","3-4 dies per setmana","TV3","Rac 1","La Vanguardia (castellà)","Correcte","Correcte","Correcte","6","16","Sí","Catalunya","Catalunya","Blanc/a","Catolicisme","Treballa","Màster oficial universitari (Especialitats mèdiques o equivalent)","Dona","Heterosexual","Casat/ada","Castellà","Català (valencià / balear)","Sí","Sí","Sí","Sí","No","Parella amb fills/es","De 5.001 a 6.000 €","No","3"
2,"Barcelona","2.001-10.000 habitants","Vallès Oriental","Sí, tinc la ciutadania (espanyola)","Masculí",63,"Catalunya","Igual","Tots els dies","Tots els dies","Tots els dies","Mai","1-2 dies per setmana","TV3","Rac 1","La Vanguardia (català)","Aproximat","Correcte","Incorrecte","5","14","No","Catalunya","Catalunya","Blanc/a","Catolicisme","No treballa","Diplomatura (Només diplomatures oficials, no codificar aquí els tres primers anys d’una llicenciatura o grau de més)","Home","Heterosexual","Casat/ada","Català (valencià / balear)","Català (valencià / balear)","Sí","Sí","No","Sí","No","Parella sense fills/es","De 2.401 a 3.000 €","No","3"
2,"Barcelona",">1.000.000 habitants","Barcelonès","Sí, tinc la ciutadania (espanyola)","Femení",77,"Altres comunitats autònomes","Pitjor","5-6 dies per setmana","Tots els dies","Tots els dies","Mai","Amb menys freqüència","TV3","Catalunya Ràdio","Ara","No ho sap","Incorrecte","Aproximat","3","16","No","Altres comunitats autònomes","Altres comunitats autònomes","Blanc/a","Catolicisme","No treballa","Llicenciatura (Titulacions amb equivalència oficial: 2on cicle INEF; dansa i Art Dramàtic (Des de 1992); Grau Superior","Dona","Heterosexual","Solter/a","Castellà","Totes dues igual: català (valencià / balear) i castellà","No","Sí","No","No","No","Dues persones o més que no són parella","De 1.801 a 2.000 €","No","3"
1,"Barcelona",">1.000.000 habitants","Barcelonès","Sí, tinc la ciutadania (espanyola)","Femení",65,"Altres comunitats autònomes","Millor","3-4 dies per setmana","Tots els dies","5-6 dies per setmana","Mai","Amb menys freqüència","No té cap canal habitual","SER","No té cap diari habitual","Correcte","Correcte","Aproximat","3","16","No","Catalunya","Altres comunitats autònomes","Blanc/a","Catolicisme","No treballa","Batxillerat (Batxillerat LOGSE, BUP, Batxillerat Superior (6è), Batxillerat Universitari (7è), inclòs COU i PREU)","Dona","Heterosexual","Solter/a","Castellà","Castellà","No","Sí","No","No","No","Jo sol/a","De 1.201 a 1.800 €","No","2"
1,"Barcelona",">1.000.000 habitants","Barcelonès","Sí, tinc la ciutadania (espanyola)","Femení",29,"Catalunya","Pitjor","Mai","1-2 dies per setmana","Tots els dies","Mai","Mai","TV3","Rac 1","La Vanguardia (català)","No ho sap","No ho sap","Correcte","6","16","Sí","Catalunya","Catalunya","Blanc/a","Catolicisme","Treballa","Màster oficial universitari (Especialitats mèdiques o equivalent)","Dona","Heterosexual","Solter/a","Castellà","Català (valencià / balear)","Sí","Sí","No","No","No","Jo sol/a","De 1.201 a 1.800 €","No","1"
1,"Barcelona",">1.000.000 habitants","Barcelonès","Sí, tinc la ciutadania (espanyola)","Masculí",64,"Altres comunitats autònomes","Millor","Tots els dies","Tots els dies","Amb menys freqüència","Mai","1-2 dies per setmana","Antena 3","No escolta la ràdio / No té ràdio","El País","Aproximat","Incorrecte","Aproximat","3","16","No","Altres comunitats autònomes","Altres comunitats autònomes","Blanc/a","Catolicisme","Treballa","Diplomatura (Només diplomatures oficials, no codificar aquí els tres primers anys d’una llicenciatura o grau de més)","Home","Heterosexual","Solter/a","Castellà","Castellà","No","Sí","No","No","No","Jo sol/a","No ho sap","No","2"
2,"Barcelona","10.001-50.000 habitants","Anoia","Sí, tinc la ciutadania (espanyola)","Masculí",58,"Catalunya","Pitjor","5-6 dies per setmana","Tots els dies","Tots els dies","Mai","Amb menys freqüència","TV3","Catalunya Ràdio","El Periódico (català)","No ho sap","Correcte","Aproximat","4","16","No","Altres comunitats autònomes","Altres comunitats autònomes","Blanc/a","Cap: Agnosticisme","Treballa","Educació secundaria (ESO, EGB, Graduat Escolar, Certificat d’Escolaritat, Batxillerat Elemental)","Home","Heterosexual","Casat/ada","Castellà","Castellà","Sí","Sí","No","No","No","Parella sense fills/es","De 2.001 a 2.400 €","No","2"
2,"Barcelona","10.001-50.000 habitants","Anoia","Sí, tinc la ciutadania (espanyola)","Femení",65,"Catalunya","Millor","Tots els dies","Tots els dies","1-2 dies per setmana","Tots els dies","3-4 dies per setmana","TV3","SER","Público","Correcte","Correcte","Incorrecte","0","16","No","Catalunya","Catalunya","Blanc/a","Cap: Ateisme","No treballa","Batxillerat (Batxillerat LOGSE, BUP, Batxillerat Superior (6è), Batxillerat Universitari (7è), inclòs COU i PREU)","Dona","Heterosexual","Casat/ada","Català (valencià / balear)","Català (valencià / balear)","No","No","No","Sí","No","Parella sense fills/es","De 2.001 a 2.400 €","No","3"
3,"Barcelona","10.001-50.000 habitants","Vallès Occidental","Sí, tinc la ciutadania (espanyola)","Masculí",66,"Catalunya","Igual","Tots els dies","Tots els dies","Mai","Mai","Tots els dies","TV3","No escolta els informatius","Ara","Correcte","Correcte","Aproximat","3","16","No","Catalunya","Catalunya","Blanc/a","Catolicisme","No treballa","Màster oficial universitari (Especialitats mèdiques o equivalent)","Home","Heterosexual","Casat/ada","Català (valencià / balear)","Català (valencià / balear)","Sí","Sí","No","No","No","Parella sense fills/es i altres familiars","De 1.801 a 2.000 €","No","3"
3,"Barcelona","10.001-50.000 habitants","Vallès Occidental","Sí, tinc la ciutadania (espanyola)","Masculí",43,"Catalunya","Pitjor","Tots els dies","Tots els dies","Tots els dies","Mai","Tots els dies","La Sexta","Rac 1","La Vanguardia (castellà)","Incorrecte","Correcte","Aproximat","3","16","No","Altres comunitats autònomes","Altres comunitats autònomes","Blanc/a","Cap: Ateisme","Treballa","Educació secundaria (ESO, EGB, Graduat Escolar, Certificat d’Escolaritat, Batxillerat Elemental)","Home","Heterosexual","Solter/a","Castellà","Castellà","Sí","No","No","No","No","Parella amb fills/es","De 3.001 a 4.000 €","No","3"
2,"Barcelona","10.001-50.000 habitants","Vallès Occidental","Sí, tinc la ciutadania (espanyola)","Masculí",74,"Catalunya","Igual","3-4 dies per setmana","Tots els dies","Tots els dies","Mai","Amb menys freqüència","No té cap canal habitual","Catalunya Ràdio","El Periódico (català)","No ho sap","Incorrecte","Incorrecte","3","14","No","Catalunya","Catalunya","Llatí/ina","Catolicisme","No treballa","Batxillerat (Batxillerat LOGSE, BUP, Batxillerat Superior (6è), Batxillerat Universitari (7è), inclòs COU i PREU)","Home","Heterosexual","Casat/ada","Totes dues igual: català (valencià / balear) i castellà","Totes dues igual: català (valencià / balear) i castellà","Sí","Sí","Sí","No","No","Parella sense fills/es","No contesta","No","2"
4,"Barcelona","10.001-50.000 habitants","Vallès Occidental","Sí, tinc la ciutadania (espanyola)","Femení",20,"Catalunya","Millor","1-2 dies per setmana","Mai","Mai","Mai","Mai","No veu la TV / No té TV","No escolta els informatius","Altres diaris","No ho sap","No ho sap","Aproximat","3","16","No","Altres comunitats autònomes","Altres comunitats autònomes","Altres","Cap: Ateisme","Treballa","FP de Grau Superior (Cicle/mòdul formatiu de FP (grau superior) d’Arts Plàstiques, Disseny, Música i Dansa, Esport,","Dona","Heterosexual","Solter/a","Castellà","Castellà","Sí","Sí","No","No","No","Parella amb fills/es","De 3.001 a 4.000 €","No","3"
4,"Barcelona","10.001-50.000 habitants","Vallès Occidental","Sí, tinc la ciutadania (espanyola)","Masculí",28,"Catalunya","Igual","3-4 dies per setmana","5-6 dies per setmana","Mai","Tots els dies","3-4 dies per setmana","Antena 3","No escolta els informatius","La Vanguardia (castellà)","No ho sap","Incorrecte","Aproximat","5","16","Sí","Catalunya","Catalunya","Blanc/a","Catolicisme","Treballa","Batxillerat (Batxillerat LOGSE, BUP, Batxillerat Superior (6è), Batxillerat Universitari (7è), inclòs COU i PREU)","Home","Heterosexual","Solter/a","Català (valencià / balear)","Català (valencià / balear)","Sí","Sí","Sí","No","No","Dues persones o més que no són parella","Més de 6.000 €","No","1"
2,"Barcelona","10.001-50.000 habitants","Vallès Occidental","Sí, tinc la ciutadania (espanyola)","Femení",59,"Altres comunitats autònomes","Pitjor","Mai","Tots els dies","Mai","Mai","Mai","Telecinco","No escolta els informatius","No llegeix diaris","No ho sap","No ho sap","Aproximat","3","16","No","Altres comunitats autònomes","Altres comunitats autònomes","Altres","Catolicisme","No treballa","FP de Grau Mig (Cicle/mòdul formatiu de FP (grau mitjà), d’Arts Plàstiques i Disseny, Música i Dansa, ensenyaments","Dona","Heterosexual","Casat/ada","Castellà","Castellà","Sí","No","No","No","No","Parella sense fills/es","No contesta","Sí","1"
3,"Barcelona","10.001-50.000 habitants","Vallès Occidental","Sí, tinc la ciutadania (espanyola)","Femení",65,"Catalunya","Igual","3-4 dies per setmana","1-2 dies per setmana","Tots els dies","Mai","Amb menys freqüència","TV3","Catalunya Ràdio","Ara","No ho sap","Aproximat","Correcte","6","16","No","Altres comunitats autònomes","Altres comunitats autònomes","Blanc/a","Cap: Agnosticisme","No treballa","Llicenciatura (Titulacions amb equivalència oficial: 2on cicle INEF; dansa i Art Dramàtic (Des de 1992); Grau Superior","Dona","Heterosexual","Separat/ada","Castellà","Totes dues igual: català (valencià / balear) i castellà","Sí","Sí","No","No","No","Monoparental: pare/mare amb fills/es","De 1.801 a 2.000 €","No","3"
3,"Barcelona",">1.000.000 habitants","Barcelonès","Sí, tinc la ciutadania (espanyola)","Femení",26,"Catalunya","Igual","Mai","Mai","Mai","Amb menys freqüència","Mai","Telecinco","No escolta la ràdio / No té ràdio","No llegeix diaris","No ho sap","No ho sap","Correcte","6","16","Sí","Catalunya","Catalunya","Blanc/a","Catolicisme","Treballa","Grau (Estudis de grau, ensenyaments artístics equivalents (Des de 2006))","Dona","Bisexual","Solter/a","Castellà","Castellà","Sí","Sí","No","No","No","Monoparental: pare/mare amb fills/es","De 1.201 a 1.800 €","No","2"
4,"Barcelona","10.001-50.000 habitants","Vallès Occidental","Sí, tinc la ciutadania (espanyola)","Masculí",20,"Catalunya","Millor","1-2 dies per setmana","Tots els dies","Mai","3-4 dies per setmana","3-4 dies per setmana","TV3","Rac 1","No llegeix diaris","No ho sap","Incorrecte","Aproximat","3","16","No","Catalunya","Catalunya","Altres","Cap: Ateisme","Treballa","FP de Grau Mig (Cicle/mòdul formatiu de FP (grau mitjà), d’Arts Plàstiques i Disseny, Música i Dansa, ensenyaments","Dona","Heterosexual","Solter/a","Català (valencià / balear)","Castellà","Sí","Sí","No","No","No","Parella amb fills/es","De 4.001 a 4.500 €","No","1"
1,"Barcelona","150.001-1.000.000 habitants","Barcelonès","Sí, tinc la ciutadania (espanyola)","Femení",69,"Altres comunitats autònomes","Igual","Amb menys freqüència","Tots els dies","1-2 dies per setmana","Tots els dies","1-2 dies per setmana","Antena 3","Onda Cero","La Vanguardia (castellà)","No ho sap","Incorrecte","Aproximat","4","16","No","Altres comunitats autònomes","Altres comunitats autònomes","Blanc/a","Cap: Agnosticisme","No treballa","Batxillerat (Batxillerat LOGSE, BUP, Batxillerat Superior (6è), Batxillerat Universitari (7è), inclòs COU i PREU)","Dona","Heterosexual","Separat/ada","Castellà","Castellà","No","No","No","No","Sí","Jo sol/a","De 901 a 1000 €","Sí","1"
3,"Barcelona","150.001-1.000.000 habitants","Barcelonès","Sí, tinc la ciutadania (espanyola)","Femení",27,"Catalunya","Millor","Amb menys freqüència","Mai","Mai","Amb menys freqüència","Amb menys freqüència","No veu la TV / No té TV","No escolta la ràdio / No té ràdio","El Periódico (castellà)","No ho sap","No ho sap","Correcte","6","16","No","Catalunya","Catalunya","Blanc/a","Cap: Ateisme","No treballa","Educació secundaria (ESO, EGB, Graduat Escolar, Certificat d’Escolaritat, Batxillerat Elemental)","Dona","Heterosexual","Solter/a","Castellà","Castellà","No","No","No","No","Sí","Parella amb fills/es","De 1.201 a 1.800 €","No","1"
2,"Barcelona","150.001-1.000.000 habitants","Barcelonès","Sí, tinc la ciutadania (espanyola)","Femení",70,"Altres comunitats autònomes","Igual","Tots els dies","Amb menys freqüència","1-2 dies per setmana","Tots els dies","Tots els dies","TV3","Catalunya Ràdio","El Punt Avui","Correcte","Correcte","Aproximat","3","16","No","Altres comunitats autònomes","Altres comunitats autònomes","Altres","Catolicisme","No treballa","Batxillerat (Batxillerat LOGSE, BUP, Batxillerat Superior (6è), Batxillerat Universitari (7è), inclòs COU i PREU)","Dona","Heterosexual","Casat/ada","Castellà","Català (valencià / balear)","No","Sí","No","No","No","Parella sense fills/es","No contesta","No","3"
3,"Barcelona","150.001-1.000.000 habitants","Barcelonès","Sí, tinc la ciutadania (espanyola)","Masculí",38,"Catalunya","Millor","Tots els dies","Tots els dies","Mai","Tots els dies","5-6 dies per setmana","La Sexta","No escolta la ràdio / No té ràdio","Altres diaris estatals","Correcte","Correcte","Aproximat","3","16","No","Catalunya","Catalunya","Blanc/a","Cap: Agnosticisme","Treballa","FP de Grau Superior (Cicle/mòdul formatiu de FP (grau superior) d’Arts Plàstiques, Disseny, Música i Dansa, Esport,","Home","Heterosexual","Solter/a","Castellà","Castellà","Sí","Sí","No","No","No","Parella amb fills/es","De 1.201 a 1.800 €","No","1"
2,"Barcelona","150.001-1.000.000 habitants","Barcelonès","Sí, tinc la ciutadania (espanyola)","Masculí",72,"Altres comunitats autònomes","Pitjor","Tots els dies","Mai","Mai","Tots els dies","Amb menys freqüència","TV3","No escolta els informatius","No llegeix diaris","Incorrecte","Incorrecte","Aproximat","3","16","No","Altres comunitats autònomes","Altres comunitats autònomes","Blanc/a","Catolicisme","No treballa","Educació Primària (Educació Primària de la LOGSE, 5è curs d’EGB, ensenyament primari antic)","Home","Heterosexual","Casat/ada","Castellà","Castellà","Sí","Sí","No","Sí","No","Parella sense fills/es","De 2.001 a 2.400 €","No","3"
3,"Barcelona",">1.000.000 habitants","Barcelonès","Sí, tinc la ciutadania (espanyola)","Femení",42,"Altres comunitats autònomes","Millor","Amb menys freqüència","Amb menys freqüència","3-4 dies per setmana","Amb menys freqüència","1-2 dies per setmana","La Sexta","Altres emissores","Eldiario.es","No ho sap","Aproximat","Correcte","6","16","No","Altres comunitats autònomes","Altres comunitats autònomes","Blanc/a","Catolicisme","Treballa","Arquitectura/Enginyeria Tècnica (Aparellador/a; pèrit)","Dona","Heterosexual","Casat/ada","Castellà","Castellà","Sí","Sí","No","No","No","Parella amb fills/es","De 3.001 a 4.000 €","No","3"
4,"Barcelona","10.001-50.000 habitants","Anoia","Sí, tinc la ciutadania (espanyola)","Masculí",37,"Catalunya","Pitjor","1-2 dies per setmana","Tots els dies","Mai","3-4 dies per setmana","Mai","La Sexta","No escolta la ràdio / No té ràdio","Altres diaris estatals","Correcte","No ho sap","Aproximat","3","16","No","Catalunya","Catalunya","Blanc/a","Catolicisme","Treballa","Educació secundaria (ESO, EGB, Graduat Escolar, Certificat d’Escolaritat, Batxillerat Elemental)","Home","Bisexual","Solter/a","Català (valencià / balear)","Català (valencià / balear)","Sí","No","No","No","No","Parella amb fills/es","De 1.201 a 1.800 €","No","1"
2,"Barcelona","10.001-50.000 habitants","Anoia","Sí, tinc la ciutadania (espanyola)","Masculí",77,"Altres comunitats autònomes","Igual","Mai","1-2 dies per setmana","Mai","Mai","Mai","La 1","No escolta la ràdio / No té ràdio","No llegeix diaris","No ho sap","Incorrecte","Incorrecte","4","14","No","Altres comunitats autònomes","Altres comunitats autònomes","Blanc/a","Catolicisme","No treballa","Educació Primària (Educació Primària de la LOGSE, 5è curs d’EGB, ensenyament primari antic)","Home","Heterosexual","Casat/ada","Castellà","Castellà","Sí","Sí","No","No","No","Parella sense fills/es","De 1.801 a 2.000 €","No","2"
4,"Barcelona","10.001-50.000 habitants","Anoia","Sí, tinc la ciutadania (espanyola)","Femení",34,"Catalunya","Pitjor","Amb menys freqüència","Tots els dies","Amb menys freqüència","Mai","Amb menys freqüència","TV3","Altres emissores estatals","La Vanguardia (català)","No ho sap","Correcte","Aproximat","3","16","No","Catalunya","Altres comunitats autònomes","Blanc/a","Catolicisme","Treballa","Batxillerat (Batxillerat LOGSE, BUP, Batxillerat Superior (6è), Batxillerat Universitari (7è), inclòs COU i PREU)","Dona","Heterosexual","Solter/a","Català (valencià / balear)","Català (valencià / balear)","Sí","Sí","No","Sí","No","Parella amb fills/es","De 1.201 a 1.800 €","No","3"
4,"Barcelona","10.001-50.000 habitants","Anoia","Sí, tinc la ciutadania (espanyola)","Masculí",48,"Catalunya","Igual","1-2 dies per setmana","Tots els dies","Tots els dies","Mai","Tots els dies","No té cap canal habitual","RNE","El Periódico (català)","Correcte","Incorrecte","Incorrecte","3","15","No","Catalunya","Catalunya","Blanc/a","Catolicisme","Treballa","FP de Grau Superior (Cicle/mòdul formatiu de FP (grau superior) d’Arts Plàstiques, Disseny, Música i Dansa, Esport,","Home","Heterosexual","Casat/ada","Català (valencià / balear)","Català (valencià / balear)","Sí","Sí","No","No","No","Parella amb fills/es","De 2.401 a 3.000 €","No","1"
4,"Barcelona","10.001-50.000 habitants","Anoia","Sí, tinc la ciutadania (espanyola)","Masculí",52,"Catalunya","Pitjor","Mai","3-4 dies per setmana","1-2 dies per setmana","Mai","1-2 dies per setmana","La Sexta","Onda Cero","No llegeix diaris","Incorrecte","Incorrecte","Aproximat","3","16","No","Altres comunitats autònomes","Altres comunitats autònomes","Blanc/a","Catolicisme","Treballa","Educació secundaria (ESO, EGB, Graduat Escolar, Certificat d’Escolaritat, Batxillerat Elemental)","Home","Heterosexual","Casat/ada","Castellà","Castellà","Sí","Sí","No","No","No","Parella amb fills/es","De 2.001 a 2.400 €","No","1"
4,"Barcelona","10.001-50.000 habitants","Baix Llobregat","Sí, tinc la ciutadania (espanyola)","Masculí",60,"Catalunya","Pitjor","Tots els dies","Tots els dies","Tots els dies","Tots els dies","3-4 dies per setmana","La 1","COPE","El Periódico (català)","Correcte","Correcte","Incorrecte","3","18","No","Altres comunitats autònomes","Altres comunitats autònomes","Altres","Catolicisme","Treballa","Màster oficial universitari (Especialitats mèdiques o equivalent)","Home","Heterosexual","Parella de fet","Castellà","Castellà","Sí","Sí","No","No","No","Parella amb fills/es","De 4.001 a 4.500 €","No","2"
2,"Barcelona","10.001-50.000 habitants","Baix Llobregat","Sí, tinc la ciutadania (espanyola)","Masculí",72,"Catalunya","Igual","Tots els dies","Tots els dies","3-4 dies per setmana","Tots els dies","1-2 dies per setmana","TV3","Rac 1","La Vanguardia (català)","Incorrecte","Correcte","Incorrecte","3","18","No","Catalunya","Catalunya","Blanc/a","Catolicisme","No treballa","FP de Grau Mig (Cicle/mòdul formatiu de FP (grau mitjà), d’Arts Plàstiques i Disseny, Música i Dansa, ensenyaments","Home","Heterosexual","Parella de fet","Català (valencià / balear)","Català (valencià / balear)","Sí","Sí","Sí","Sí","No","Parella sense fills/es","Més de 6.000 €","No","3"
4,"Barcelona","10.001-50.000 habitants","Baix Llobregat","Sí, tinc la ciutadania (espanyola)","Masculí",21,"Catalunya","Millor","3-4 dies per setmana","Mai","Mai","Tots els dies","3-4 dies per setmana","La 1","No escolta els informatius","No té cap diari habitual","No ho sap","No ho sap","Aproximat","3","16","No","Altres comunitats autònomes","Catalunya","Blanc/a","Catolicisme","Treballa","Batxillerat (Batxillerat LOGSE, BUP, Batxillerat Superior (6è), Batxillerat Universitari (7è), inclòs COU i PREU)","Home","Heterosexual","Parella de fet","Castellà","Castellà","Sí","Sí","No","Sí","No","Parella amb fills/es","De 5.001 a 6.000 €","No","2"
4,"Barcelona","10.001-50.000 habitants","Baix Llobregat","Sí, tinc la ciutadania (espanyola)","Masculí",20,"Catalunya","Igual","Mai","Tots els dies","Mai","1-2 dies per setmana","1-2 dies per setmana","No té cap canal habitual","No escolta els informatius","No llegeix diaris","No ho sap","Incorrecte","Aproximat","5","16","No","Catalunya","Catalunya","Blanc/a","Cap: Ateisme","Treballa","FP de Grau Superior (Cicle/mòdul formatiu de FP (grau superior) d’Arts Plàstiques, Disseny, Música i Dansa, Esport,","Home","Heterosexual","Solter/a","Totes dues igual: català (valencià / balear) i castellà","Totes dues igual: català (valencià / balear) i castellà","Sí","Sí","Sí","No","No","Parella amb fills/es","De 4.501 a 5.000 €","No","2"
6,"Barcelona","10.001-50.000 habitants","Baix Llobregat","Sí, tinc la ciutadania (espanyola)","Masculí",58,"Altres comunitats autònomes","Pitjor","Mai","Tots els dies","Mai","Mai","Mai","Antena 3","No escolta els informatius","No llegeix diaris","No ho sap","Incorrecte","Aproximat","4","16","No","Altres comunitats autònomes","Altres comunitats autònomes","Blanc/a","Catolicisme","Està temporalment de baixa","Batxillerat (Batxillerat LOGSE, BUP, Batxillerat Superior (6è), Batxillerat Universitari (7è), inclòs COU i PREU)","Home","Heterosexual","Casat/ada","Castellà","Castellà","Sí","Sí","Sí","No","No","Parella sense fills/es i altres familiars","De 2.401 a 3.000 €","No ho sap","1"
3,"Barcelona","10.001-50.000 habitants","Baix Llobregat","Sí, tinc la ciutadania (espanyola)","Femení",65,"Altres comunitats autònomes","Igual","Tots els dies","Tots els dies","Mai","Tots els dies","5-6 dies per setmana","TV3","No escolta els informatius","No té cap diari habitual","No ho sap","Incorrecte","Incorrecte","3","25","No","Altres comunitats autònomes","Altres comunitats autònomes","No ho sap","Cap: Ateisme","No treballa","Educació Primària (Educació Primària de la LOGSE, 5è curs d’EGB, ensenyament primari antic)","Dona","Altres","Casat/ada","Castellà","Totes dues igual: català (valencià / balear) i castellà","Sí","Sí","No","No","No","Monoparental: pare/mare amb fills/es","De 2.401 a 3.000 €","No","3"
1,"Barcelona","150.001-1.000.000 habitants","Barcelonès","Sí, tinc la ciutadania (espanyola)","Masculí",80,"Altres comunitats autònomes","Pitjor","1-2 dies per setmana","Tots els dies","Mai","Mai","Mai","La 1","No escolta els informatius","Altres diaris comarcals/locals","No ho sap","No ho sap","Aproximat","3","16","No","Altres comunitats autònomes","Altres comunitats autònomes","Blanc/a","Catolicisme","No treballa","Educació Primària (Educació Primària de la LOGSE, 5è curs d’EGB, ensenyament primari antic)","Home","Heterosexual","Divorciat/ada","Castellà","Castellà","Sí","Sí","Sí","Sí","No","Jo sol/a","De 901 a 1000 €","No","1"
